text,type,labelname
"എങ്ങനെയാണ് സെർഫോം വികസിപ്പിച്ചത്, തുടർന്ന് റഷ്യ വിട്ടു?",manner,DESC
പോപ്പി ഡോയൽ എന്ന കഥാപാത്രത്തെ അവതരിപ്പിച്ച സിനിമകൾ ഏതാണ്?,cremat,ENTY
സെലിബ്രിറ്റികളുടെ യഥാർത്ഥ പേരുകളുടെ ഒരു ലിസ്റ്റ് എനിക്ക് എങ്ങനെ കണ്ടെത്താനാകും?,manner,DESC
ചൈനീസ് കുരങ്ങൻ വർഷത്തിനു ശേഷം ശ്രദ്ധ പിടിച്ചുപറ്റുന്ന കോഴി ഏതാണ്?,animal,ENTY
.com-ന്റെ പൂർണ്ണ രൂപം എന്താണ്?,exp,ABBR
ഏത് നിന്ദ്യനായ നീചനാണ് എന്റെ ഉച്ചഭക്ഷണത്തിൽ നിന്ന് കോർക്ക് മോഷ്ടിച്ചത്?,ind,HUM
ബേസ്ബോളിന്റെ സെന്റ് ലൂയിസ് ബ്രൗൺസ് ഏത് ടീമായി മാറി?,gr,HUM
ഏറ്റവും പഴയ തൊഴിൽ ഏതാണ്?,title,HUM
കരൾ എൻസൈമുകൾ എന്തൊക്കെയാണ്?,def,DESC
ദി ഓൾഡ് വെസ്റ്റിലെ സ്‌കാർ-ഫേസ്ഡ് ബൗണ്ടി ഹണ്ടറിന്റെ പേര്.,ind,HUM
എപ്പോഴാണ് ഓസി ഓസ്ബോൺ ജനിച്ചത്?,date,NUM
എന്തുകൊണ്ടാണ് ഭാരമുള്ള വസ്തുക്കൾ വേഗത്തിൽ താഴേക്ക് സഞ്ചരിക്കുന്നത്?,reason,DESC
യാങ്കികളുടെ അഭിമാനം ആരായിരുന്നു?,ind,HUM
ആരാണ് ഗാന്ധിയെ കൊന്നത്?,ind,HUM
ഇൻഷുറൻസ് വ്യവസായം ഇതുവരെ നേരിട്ടിട്ടുള്ളതിൽ വച്ച് ഏറ്റവും ചെലവേറിയ ദുരന്തമായി കണക്കാക്കപ്പെടുന്നത് എന്താണ്?,event,ENTY
ഏത് യുഎസ് സംസ്ഥാനത്താണ് ഏറ്റവും കൂടുതൽ വിമാനത്താവളങ്ങൾ ഉള്ളത്?,state,LOC
യു.എസ് ഭരണഘടനയുടെ റദ്ദാക്കിയ ഒരേയൊരു ഭേദഗതി എന്താണ് കൈകാര്യം ചെയ്തത്?,desc,DESC
രണ്ടാം ലോകമഹായുദ്ധസമയത്ത് തടങ്കൽപ്പാളയങ്ങളിൽ വച്ച് എത്ര ജൂതന്മാരെ വധിച്ചു?,count,NUM
എന്താണ് `` ഒമ്പത് ഇഞ്ച് നഖങ്ങൾ'?,def,DESC
എന്താണ് ഒരു വ്യാഖ്യാന ഗ്രന്ഥസൂചിക?,def,DESC
ബോക്സിംഗ് ഡേയുടെ തീയതി എന്താണ്?,date,NUM
കുത്തകയിൽ ഏത് വസ്ത്രങ്ങളാണ് ടോക്കണുകൾ?,other,ENTY
പ്രശസ്തരായ 11 രക്തസാക്ഷികളുടെ പേര് നൽകുക,ind,HUM
എന്താണ് ഒളിമ്പിക് മുദ്രാവാക്യം?,desc,DESC
സ്കാർലറ്റ് എന്ന പേരിന്റെ ഉത്ഭവം എന്താണ്?,desc,DESC
ഇംഗ്ലീഷിൽ ഏറ്റവും കൂടുതൽ ഉപയോഗിക്കുന്ന രണ്ടാമത്തെ സ്വരാക്ഷരമെന്താണ്?,letter,ENTY
സില്ലി പുട്ടിയുടെ ഉപജ്ഞാതാവ് ആരായിരുന്നു?,ind,HUM
യുണൈറ്റഡ് സ്റ്റേറ്റ്സിലെ ഏറ്റവും ഉയരമുള്ള വെള്ളച്ചാട്ടം ഏതാണ്?,other,LOC
മർട്ടിൽ ബീച്ചിലെ ഒരു ഗോൾഫ് കോഴ്സിന് പേര് നൽകുക,other,ENTY
ചെസാപീക്ക് ബേ ഉൾക്കൊള്ളുന്ന രണ്ട് സംസ്ഥാനങ്ങൾ ഏതാണ്?,state,LOC
